,codigo_ocorrencia1,ocorrencia_tipo,ocorrencia_tipo_categoria,taxonomia_tipo_icao
5017,78748,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP
5018,78748,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE
5019,78749,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE
5020,78749,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G
5021,78750,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G
5022,78751,POUSO LONGO,EXCURSÃO DE PISTA | POUSO LONGO,RE
5023,78752,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP
5024,78753,PERDA DA CONSCIÊNCIA,OUTROS | PERDA DA CONSCIÊNCIA,OTHR
5025,78754,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE
5026,78755,INDETERMINADO,INDETERMINADO,UNK
5027,78756,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G
5028,78757,INDETERMINADO,INDETERMINADO,UNK
5029,78758,POUSO BRUSCO,CONTATO ANORMAL COM A PISTA | POUSO BRUSCO,ARC
5030,78759,OUTROS,OUTROS,OTHR
5031,78760,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
5032,78761,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE
5033,78762,COM HÉLICE,FALHA OU MAU FUNCIONAMENTO DO MOTOR | COM HÉLICE,SCF-PP
5034,78763,COLISÃO COM OBSTÁCULOS NO SOLO,COLISÃO NO SOLO | COLISÃO COM OBSTÁCULOS NO SOLO,GCOL
5035,78764,POUSO BRUSCO,CONTATO ANORMAL COM A PISTA | POUSO BRUSCO,ARC
5036,78765,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
5037,78766,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP
5038,78767,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
5039,78768,POUSO LONGO,EXCURSÃO DE PISTA | POUSO LONGO,RE
5040,78769,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
5041,78770,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I
5042,78771,PERDA DE COMPONENTE NO SOLO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | PERDA DE COMPONENTE NO SOLO,SCF-NP
5043,78772,INDETERMINADO,INDETERMINADO,UNK
5044,78773,MANOBRA ABRUPTA,MANOBRA ABRUPTA,AMAN
5045,78774,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL
5046,78775,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G
5047,78776,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL
5048,78777,POUSO EM LOCAL NÃO PREVISTO,OUTROS | POUSO EM LOCAL NÃO PREVISTO,OTHR
5049,78778,POUSO BRUSCO,CONTATO ANORMAL COM A PISTA | POUSO BRUSCO,ARC
